상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,평균_점포_수,평균_점포당_월매출,평균_총_유동인구,평균_2030비율,평균_폐업비율,평균_창업추천점수,추천순위,위도,경도,자치구_코드_명,행정동_코드_명
3120094,"신촌역(신촌역, 신촌로터리)",CS300018,의약품,33.0,170757010.16414142,6059807.5,62.48950244397152,1.5151515151515151,91.04461175081194,1,37.55652864102824,126.93641829163414,서대문구,신촌동
3001495,잠실 관광특구,CS300026,완구,14.75,403275297.6190476,4109340.25,47.84223277568681,0.0,90.95558015943313,2,37.51643105790915,127.1152409425314,송파구,방이2동
3110869,"신림역 5번(신림동주민센터, 신림동별빛거리)",CS300001,슈퍼마켓,7.25,93847894.60416669,4151232.0,63.73834074949936,0.0,90.77902273398288,3,37.48705494828831,126.92548680651548,관악구,신림동
3120157,신림역(신림),CS300016,안경,4.0,85755365.91666667,4513771.75,59.74103183681566,0.0,90.5300487156776,4,37.484724238201885,126.93023791719077,관악구,신림동
3120012,대학로(혜화역),CS300002,편의점,6.0,117220385.8472222,3628566.5,51.586574984864,0.0,89.86561116031888,5,37.5827467014045,127.00132461165737,종로구,혜화동
3120189,강남역,CS300020,서적,30.75,119445269.19345877,7796285.75,52.848287701405695,0.8064516129032258,89.84029377029819,6,37.497571920870165,127.02775129423334,서초구,서초2동
3120104,연남동(홍대),CS300002,편의점,5.25,293071229.39166665,5015386.25,51.06870944767267,15.0,89.65822261588427,7,37.56007023507463,126.9224714657634,마포구,연남동
3110895,샤로수길,CS300003,컴퓨터및주변장치판매,6.0,91678473.77777778,3527900.0,54.28130049037672,0.0,89.54027162680839,8,37.47637531474311,126.9561011279273,관악구,낙성대동
3120102,서교동(홍대),CS300018,의약품,6.0,227115524.4583333,2536128.5,50.30753416363899,0.0,89.45435488633008,9,37.55486813449178,126.91753121902065,마포구,서교동
3110892,관악구 중앙길,CS100005,제과점,3.0,99813765.55555557,4090578.0,50.0542466125814,0.0,89.40085621493947,10,37.48428421923612,126.95112160044752,관악구,중앙동
3120157,신림역(신림),CS200006,일반의원,45.0,64725350.48703703,4513771.75,59.74103183681566,0.0,89.36689548272808,11,37.484724238201885,126.93023791719077,관악구,신림동
3001495,잠실 관광특구,CS200006,일반의원,29.0,112359203.52011494,4109340.25,47.84223277568681,0.0,89.34790374963094,12,37.51643105790915,127.1152409425314,송파구,방이2동
3120145,영등포역(영등포),CS300009,청과상,14.75,119922517.2436508,4027648.0,47.46819264622892,0.0,89.27405521110128,13,37.51843182609498,126.90568269638136,영등포구,영등포동
3120159,서울대입구역,CS300032,가전제품,3.25,212018037.6944444,3461415.0,59.41720657378482,8.333333333333332,89.26896220844407,14,37.48095081268923,126.95191519812433,관악구,청룡동
3120159,서울대입구역,CS300016,안경,7.0,77438677.92857143,3461415.0,59.41720657378482,0.0,89.22011366991438,15,37.48095081268923,126.95191519812433,관악구,청룡동
3120049,왕십리역(왕십리),CS300021,문구,4.0,177052670.5625,2709876.25,48.877040346337694,0.0,89.14565987599646,16,37.56090973532495,127.03720279807932,성동구,행당1동
3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300007,육류판매,16.0,497103890.3177083,7052278.5,41.13061290853256,0.0,89.06910983170948,17,37.564058680496096,126.98185622262775,중구,소공동
3120094,"신촌역(신촌역, 신촌로터리)",CS300036,조명용품,9.0,54898552.9537037,6059807.5,62.48950244397152,0.0,89.0153454384411,18,37.55652864102824,126.93641829163414,서대문구,신촌동
3120094,"신촌역(신촌역, 신촌로터리)",CS200006,일반의원,60.75,53089653.24947632,6059807.5,62.48950244397152,0.0,88.91531591378802,19,37.55652864102824,126.93641829163414,서대문구,신촌동
3001495,잠실 관광특구,CS300032,가전제품,12.25,242386801.4150641,4109340.25,47.84223277568681,2.083333333333333,88.79274431650428,20,37.51643105790915,127.1152409425314,송파구,방이2동
3120159,서울대입구역,CS200006,일반의원,53.25,103137414.3668156,3461415.0,59.41720657378482,0.4545454545454545,88.69453055801596,21,37.48095081268923,126.95191519812433,관악구,청룡동
3120189,강남역,CS300002,편의점,18.0,335865142.9792025,7796285.75,52.848287701405695,10.130718954248366,88.67388544434603,22,37.497571920870165,127.02775129423334,서초구,서초2동
3120037,동대문역사문화공원역,CS300024,운동/경기용품,72.5,152061315.5495808,3963490.0,44.47924809980165,0.0,88.60632565692353,23,37.56545638813874,127.00737989015032,중구,광희동
3120157,신림역(신림),CS200007,치과의원,18.0,55389678.72685185,4513771.75,59.74103183681566,0.0,88.58177590788307,24,37.484724238201885,126.93023791719077,관악구,신림동
3120053,건대입구역(건대),CS300002,편의점,8.0,212252556.9583333,2673153.0,58.26590343561218,6.25,88.55341009743135,25,37.54052361998077,127.0694180102895,광진구,화양동
3120145,영등포역(영등포),CS300002,편의점,6.0,277350346.8333333,4027648.0,47.46819264622892,4.166666666666666,88.4796870386773,26,37.51843182609498,126.90568269638136,영등포구,영등포동
