기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,총_유동인구_수,2030비율,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,주말_유동인구_수,야간_유동인구_수,전체유동점수,2030핫플점수,주말점수,야간점수,핫플점수
2025,1,3110782,영등포시장역 4번,180810.0,41.36220341795255,30379.0,21671.0,25597.0,26855.0,26114.0,52969.0,52050.0,18.51379365332483,80.38590336469463,19.199489714559082,18.083240312549833,37.14798277786637
2025,1,3110783,영등포시장역 1번,215686.0,40.25898760234786,38952.0,18864.0,34782.0,24350.0,21152.0,45502.0,57816.0,22.14957741986924,77.78663690001595,16.69590177005262,19.566257375219262,37.362462127252435
2025,1,3110784,신대림초등학교,189801.0,24.28174772524908,32591.0,25135.0,26356.0,27850.0,29853.0,57703.0,57726.0,19.406793174932226,15.133152607239674,20.873863817572953,19.502471695104447,18.432466911178437
2025,1,3110785,영등포푸르지오아파트,1210461.0,26.31856788446716,206067.0,159258.0,165262.0,185087.0,192762.0,377849.0,365325.0,76.86174453835115,24.60532610428959,79.95535002391962,77.19661935895391,61.85377132833679
2025,1,3110786,당산역 8번,468952.0,41.29804329654208,90252.0,57591.0,70560.0,66479.0,61447.0,127926.0,147843.0,42.704512836868126,80.24238558443629,42.03476319566257,45.3197257215755,54.224206665603575
2025,1,3110787,신길3동주민센터,1844279.0,25.951225384011856,362876.0,237316.0,251826.0,286383.0,292153.0,578536.0,600192.0,90.14511242226119,22.835273481103492,92.99952160739913,92.18625418593525,70.82921384149257
2025,1,3110788,영등포시장역 3번,109787.0,43.61536429631924,15787.0,13446.0,16091.0,15623.0,14692.0,30315.0,29233.0,12.406314782331366,84.62765109232977,12.358475522245255,11.35385106043693,33.9052782650295
2025,1,3110789,대림성모병원,529630.0,32.31048090176161,92553.0,62456.0,73859.0,74407.0,84453.0,158860.0,155009.0,46.75490352415883,53.245096475841166,49.27443788869399,46.72301068410142,49.20108435656195
2025,1,3110790,대림1동주민센터,669572.0,26.09801485127813,115843.0,91460.0,92096.0,98698.0,100986.0,199684.0,207303.0,55.44570243980227,23.536915962366447,57.51873704353373,57.53468346356243,46.60102057088184
2025,1,3110791,신풍역 3번,119004.0,30.15108735840812,21499.0,14647.0,16808.0,17546.0,17786.0,35332.0,36146.0,13.09201084356562,44.235369159623666,13.921224685058203,13.347153564024877,22.639132514750443
2025,1,3110792,영등포역 2번,1949744.0,29.42637597551268,328839.0,270699.0,268093.0,298072.0,311158.0,609230.0,599538.0,91.5165045447297,41.014192313825546,93.81278902886302,92.15436134587786,76.92074629245734
2025,1,3110793,대림썬프라자,33765.0,26.696283133422185,7951.0,3703.0,4634.0,5072.0,5474.0,10546.0,11654.0,2.8225163450805293,26.582682187848828,3.556051666400893,3.7314622867166323,10.233615053420506
2025,1,3110794,영동초등학교,976923.0,52.1985867872903,141822.0,127067.0,139680.0,139067.0,142969.0,282036.0,268889.0,69.65396268537714,94.94498485090097,70.33965874661139,67.07064264072716,76.99091054058364
2025,1,3110795,도림초등학교,1104516.0,28.197328060435524,155141.0,159134.0,154898.0,158698.0,164472.0,323170.0,314275.0,73.46515707223729,34.76319566257375,74.40599585393079,72.189443469941,61.85137936533248
2025,1,3110796,한림대학교한강성심병원,114314.0,52.97513865318334,15189.0,14499.0,16105.0,16671.0,17789.0,34460.0,29688.0,12.789028863020253,95.4871631318769,13.682028384627651,11.561154520810078,37.59288789666719
2025,1,3110797,KT대방빌딩,338226.0,26.467805550135115,51933.0,44259.0,47157.0,49593.0,51387.0,100980.0,96192.0,33.02503587944506,25.33886142560995,34.92265986286079,32.450964758411736,31.01259767182267
2025,1,3110798,신풍역 2번,170773.0,31.706417290789528,29957.0,21234.0,24129.0,25182.0,24883.0,50065.0,51191.0,17.44538351140169,50.82124063147824,18.083240312549833,17.81215117206187,27.64072715675331
2025,1,3110799,영등포본동주민센터,157407.0,29.35447597629076,25969.0,22043.0,21467.0,24233.0,25595.0,49828.0,48012.0,16.24940200924892,40.77499601339499,17.907829692234092,16.887258810397064,24.034444267261996
2025,1,3110800,영등포동성당,162927.0,62.4439166006862,23547.0,16686.0,24033.0,21727.0,21226.0,42953.0,40233.0,16.648062509966515,99.02726837824908,15.898580768617446,14.750438526550788,40.92728432466911
2025,1,3110802,신길동홍어거리,592040.0,24.737517735288154,91558.0,76312.0,84696.0,81882.0,83744.0,165626.0,167870.0,50.613937171105086,17.254026471057248,50.72556211130601,49.49768776909584,40.46085153882953
2025,1,3110803,신길2동우편취급국,1223570.0,24.2639162450861,181538.0,168195.0,165160.0,180448.0,190664.0,371112.0,349733.0,77.21256577898262,15.005581247010047,79.3812789028863,75.58603093605485,58.74023281773242
2025,1,3110804,신풍역 1번,1083235.0,29.49664661869308,166853.0,144795.0,150762.0,160852.0,167477.0,328329.0,311648.0,72.77946101100304,41.221495774198694,74.96412055493542,71.83862222930952,63.60787753149418
2025,1,3110805,신길새마을금고신길4동지점,260599.0,29.81899393320773,44700.0,35856.0,35562.0,39648.0,42437.0,82085.0,80556.0,26.471057247647906,42.720459256896824,29.819805453675652,27.698931589858077,32.19980864295966
2025,1,3110807,신길역 3번,426715.0,53.19967659913526,78208.0,52869.0,62475.0,61142.0,59090.0,120232.0,131077.0,39.81821081167278,95.66257375219264,40.10524637218945,41.33312071439962,56.8561632913411
2025,1,3110808,신길역 1번,491495.0,46.94025371570413,68826.0,64068.0,69251.0,71801.0,74409.0,146210.0,132894.0,44.07590495933663,90.04943390208898,46.24461808324031,41.97097751554776,57.98596715037474
2025,1,3110809,장훈고등학교,413117.0,25.61840834436733,75136.0,59740.0,60427.0,58923.0,57525.0,116448.0,134876.0,38.70196140966353,21.5276670387498,39.11656833040983,42.41747727635146,34.189921862541865
2025,1,3110810,영신초등학교,1562643.0,28.75096871134354,265983.0,204161.0,220146.0,229489.0,231658.0,461147.0,470144.0,85.82363259448253,37.55381916759688,86.87609631637697,86.1266145750279,71.59862860787753
2025,1,3110811,보라매역 4번,556572.0,37.53566474777747,85031.0,72406.0,81239.0,77980.0,76571.0,154551.0,157437.0,48.716313187689366,70.8658906075586,48.190081326742146,47.29708180513475,55.04305533407749
2025,1,3110812,신길6동주민센터,517984.0,34.69778989312412,96686.0,70298.0,73806.0,75259.0,76759.0,152018.0,166984.0,46.037314622867164,61.872109711369795,47.63195662573752,49.40200924892362,51.6113857439005
2025,1,3110813,보라매역 6번,1539397.0,34.52059475236083,282848.0,185969.0,229260.0,211738.0,199535.0,411273.0,468817.0,85.32929357359272,61.34587785042258,83.32004464997608,86.04688247488438,77.8400574071121
2025,1,3110814,서울지방병무청,1345843.0,30.84319642038484,222834.0,177251.0,188630.0,199534.0,204816.0,404350.0,400085.0,80.62509966512518,47.1057247647903,82.58650932865572,81.35863498644554,71.07159942592887
2025,1,3110815,공군호텔,1261236.0,35.02580008816748,204508.0,162639.0,179110.0,181591.0,187074.0,368665.0,367147.0,78.26502950087705,62.98835911337905,79.06235050231223,77.34013713921225,73.70275873066495
2025,1,3110816,대방역 6번,832557.0,37.19709281166335,168735.0,98803.0,124355.0,118969.0,107597.0,226566.0,267538.0,63.51459097432627,69.57423058523361,62.366448732259606,66.73576782012438,65.58603093605485
2025,1,3110817,대방역 4번,364918.0,43.09981968551839,63305.0,46163.0,53179.0,52128.0,50158.0,102286.0,109468.0,35.544570243980225,83.62302663052145,35.4169988837506,36.070802104927445,50.02152766703875
2025,1,3110818,신대방역 3번,333709.0,41.01777296986297,56133.0,43792.0,46035.0,50592.0,52668.0,103260.0,99925.0,32.690161058842286,79.3493860628289,35.68808802423856,33.43964280019136,47.39993621431989
