상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,평균_점포_수,평균_점포당_월매출,평균_총_유동인구,평균_2030비율,평균_폐업비율,평균_창업추천점수,추천순위
3111032,방이역 1번,CS100002,중식음식점,3.0,15245112.944444444,399600.5,20.905241671432307,0.0,39.898479480366106,14887
3110811,보라매역 4번,CS200026,자동차미용,3.0,2867959.6944444445,549516.25,37.980851794849876,0.0,39.89845733687629,14888
3111007,석촌고분역 4번,CS100010,커피-음료,4.75,1829168.8291666666,1048544.0,36.15963180901731,6.25,39.896966341895485,14889
3110827,NH농협은행 상도동지점,CS300011,일반의류,21.0,3023511.1071428573,683918.25,34.55796865127543,0.0,39.89596250369058,14890
3110576,대흥역 3번,CS300024,운동/경기용품,3.0,3546145.1944444445,747920.25,32.07124546575694,0.0,39.892862415116625,14891
3110213,청량초등학교,CS100010,커피-음료,6.25,1728510.1865079366,317245.75,60.913773849406425,0.0,39.889430174195454,14892
3120131,가산디지털단지,CS200001,일반교습학원,82.0,1018539.3163383089,1176634.25,48.28614341747783,2.454348948251387,39.88935636256274,14893
3110080,해방촌예술마을,CS300004,핸드폰,3.0,30010.33333333333,1695882.0,35.32910898281838,0.0,39.887953941541184,14894
3110710,남구로역 3번,CS300021,문구,5.0,868452.95,2328928.5,26.672974575558626,0.0,39.886492471213465,14895
3110815,공군호텔,CS200031,세탁소,6.0,767543.8472222222,1218667.25,36.02950290457346,0.0,39.87974608798347,14896
3110465,연신내역 7번,CS300010,반찬가게,3.5,2520353.326388889,1089994.25,30.107017600443413,0.0,39.875110717449076,14897
3120132,독산동,CS300036,조명용품,38.0,73006.34649122806,1046595.5,45.32631691905688,0.0,39.8741511662238,14898
3130137,"수유전통시장(수유시장, 수유골목시장)",CS100009,호프-간이주점,3.0,12333825.888888888,245346.0,27.052038838103158,0.0,39.873907587835845,14899
3111019,한성백제역 3번,CS300011,일반의류,18.0,2438599.097222222,1225886.0,30.86703096336056,1.3888888888888888,39.87280779450842,14900
3120085,은행사거리,CS100007,치킨전문점,3.0,15140950.777777778,455223.0,15.13653747723643,0.0,39.87015057573073,14901
3130071,성수역 골목형상점가,CS100001,한식음식점,9.0,3444444.4444444445,51471.75,50.35830846944722,0.0,39.869995571302034,14902
3130295,인헌시장(원당종합시장),CS300011,일반의류,13.0,4714634.243589744,258539.5,41.146926576336845,1.9230769230769231,39.86913935636257,14903
3110335,석계역 7번,CS300011,일반의류,5.5,1286614.2944444444,1573678.0,31.989172723170583,5.0,39.86517567168586,14904
3110769,대림차이나타운(대림역 12번),CS100002,중식음식점,26.0,11442981.59,546181.75,25.172075288798943,3.0,39.8626660761736,14905
3111060,암사역 2번(서울강동초등학교),CS300001,슈퍼마켓,9.0,1096771.0277777778,3530099.25,25.837541947157856,2.7777777777777777,39.85905668733392,14906
3120227,잠실역,CS300022,화장품,87.5,2687061.215021112,1108464.0,35.51868533090533,3.000822143052891,39.85667257159729,14907
3110353,수유동우체국,CS100009,호프-간이주점,3.0,5524019.861111111,855487.0,26.259548642209186,0.0,39.85134337171539,14908
3120005,삼청동,CS100009,호프-간이주점,5.5,8470435.163888888,314687.25,32.421494260937365,5.0,39.84728373191615,14909
3130120,돈암시장(돈암제일시장),CS300011,일반의류,7.0,1417076.9761904762,638310.5,43.37033290366776,0.0,39.84569678181282,14910
3110550,합정역 8번,CS300022,화장품,5.75,168935.02777777778,1233478.5,44.47781331900186,5.0,39.84419102450546,14911
3110762,선유도역 1번,CS300043,전자상거래업,24.0,334161.83117100963,1677125.0,44.95806828305488,7.200172009954619,39.84398435193387,14912
3110422,노원역 9번,CS200005,스포츠 강습,3.0,3768640.3333333335,799006.5,30.435345055727613,0.0,39.84207263064659,14913
3120113,오목교역,CS300021,문구,3.0,2688088.1388888885,1802937.0,21.871842561741303,0.0,39.838308237378214,14914
3120084,공릉역,CS200016,당구장,5.25,5148503.311111111,533264.0,37.42682401230992,10.0,39.83196781812814,14915
3111080,굽은다리역 3번,CS100001,한식음식점,17.25,15426261.384289717,610282.0,22.4807062837159,6.076388888888889,39.83103779155596,14916
