기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,객단가,점포당_분기매출,점포당_월매출,폐업비율,총_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,2030_유동인구_수,2030비율,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2025,1,3001491,이태원 관광특구,CS100010,커피-음료,4034258504,343510,93,1,4,22,11744.224342813892,43379123.69892473,14459707.899641575,4.301075268817205,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300011,일반의류,13042704910,88166,334,2,4,0,147933.4994215457,39050014.7005988,13016671.566866266,1.1976047904191618,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300018,의약품,396416252,26938,5,0,0,0,14715.875417625659,79283250.4,26427750.133333337,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300001,슈퍼마켓,3381799818,228057,15,0,1,6,14828.748155066496,225453321.2,75151107.06666666,6.666666666666667,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300010,반찬가게,186000000,5255,13,0,0,1,35394.86203615604,14307692.307692308,4769230.769230769,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS100009,호프-간이주점,9899482457,310591,134,0,4,5,31873.049949934157,73876734.75373134,24625578.25124378,2.9850746268656714,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300017,시계및귀금속,1552817477,9210,21,1,0,0,168601.24614549402,73943689.38095239,24647896.460317463,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300022,화장품,729883855,13153,48,0,2,3,55491.815935528015,15205913.645833334,5068637.881944445,4.166666666666666,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS200007,치과의원,416195593,3224,7,0,0,0,129092.92586848635,59456513.28571428,19818837.76190476,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS300028,화초,74725620,1055,18,0,1,0,70829.97156398105,4151423.3333333335,1383807.7777777778,5.555555555555555,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS200028,미용실,454788591,4619,27,0,1,1,98460.40073609006,16844021.888888888,5614673.962962963,3.7037037037037033,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001491,이태원 관광특구,CS200031,세탁소,97141732,5214,3,0,0,0,18630.94207901803,32380577.333333332,10793525.777777778,0.0,2053162.0,500244.0,510682.0,1010926.0,49.23751754610693,401109.0,263612.0,299503.0,357006.0,325485.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100001,한식음식점,105629044146,1737999,588,15,21,86,60776.239886213974,179641231.54081634,59880410.513605446,3.571428571428571,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300036,조명용품,60000000,686,35,0,1,0,87463.55685131195,1714285.7142857143,571428.5714285715,2.857142857142857,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100004,양식음식점,5980173779,136837,97,1,5,11,43702.90037782179,61651276.072164945,20550425.357388314,5.154639175257731,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300031,가구,214170267,1345,27,0,2,0,159234.39925650557,7932232.111111111,2644077.3703703703,7.4074074074074066,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300035,인테리어,3753564163,46595,116,0,1,0,80557.23066852667,32358311.75,10786103.916666666,0.8620689655172413,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100002,중식음식점,7629969787,149506,70,1,0,12,51034.5389950905,108999568.38571429,36333189.461904764,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100006,패스트푸드점,2100659720,185312,23,0,0,20,11335.799732343292,91333031.30434783,30444343.76811594,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200029,네일숍,158703879,4559,21,0,0,0,34811.11625356438,7557327.571428572,2519109.1904761908,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200007,치과의원,13210059489,61605,50,1,3,0,214431.61251521792,264201189.78,88067063.26,6.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300006,미곡판매,1581374433,3814,68,0,2,0,414623.6059255375,23255506.36764706,7751835.455882353,2.941176470588235,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300007,육류판매,24993167460,243408,16,0,0,2,102680.13976533228,1562072966.25,520690988.75,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300029,애완동물,396828026,11465,24,0,0,0,34612.12612298299,16534501.083333334,5511500.361111111,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200024,스포츠클럽,38206544,129,17,0,1,0,296174.7596899225,2247443.7647058824,749147.9215686275,5.88235294117647,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200033,부동산중개업,51000000,113,174,0,4,0,451327.4336283186,293103.4482758621,97701.14942528737,2.2988505747126435,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100003,일식음식점,7358140960,147399,73,0,0,19,49919.883852672,100796451.50684932,33598817.168949775,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
2025,1,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200031,세탁소,24902598,454,3,0,0,0,54851.53744493392,8300866.0,2766955.3333333335,0.0,6931325.0,1208624.0,1687487.0,2896111.0,41.78293472027354,1314562.0,343316.0,1159683.0,793391.0,579458.0
